Polymer,SMILES,P_MW,P_wt%,surface tension (mN/m),pore maker,pore maker molecular weight (Da),pore maker wt% (pore maker to total weight),additive,additive wt% (additive to polymer),organic solvent,solubility parameter (MPa1/2),TMP (bar),organic compound,oraganic compound concentration (mg/L),organic compound size (Da),foulant,foulant concentration (mg/L),water permeability (LMH/bar),organic compound removal (%),flux decline ratio (%),flux recovery ratio (%) ,reversible fouling ratio (%),irreversible fouling ratio(%)
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,ZnO NPs,1,NMP,22.9,2,BSA,500,66000,BSA,500,133.45,95.1,32.97,85.8,52.83,14.2
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,ZnO NPs,2,NMP,22.9,2,BSA,500,66000,BSA,500,156.5,95.8,31.95,88.7,56.75,11.3
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,ZnO NPs,4,NMP,22.9,2,BSA,500,66000,BSA,500,189.35,95.6,29.57,88.2,58.63,11.8
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,none,0,NMP,22.9,2,BSA,100,66000,BSA,100,90,94.3,35.42,72,36.58,28
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,2,NMP,22.9,2,BSA,100,66000,BSA,100,142.5,94.2,30.26,76,45.74,24
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,4,NMP,22.9,2,BSA,100,66000,BSA,100,225,93.9,22.67,78.5,55.83,21.5
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,6,NMP,22.9,2,BSA,100,66000,BSA,100,270,92.8,27.07,82,54.93,18
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,8,NMP,22.9,2,BSA,100,66000,BSA,100,250,93,25.5,88.2,62.7,11.8
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,none,0,NMP,22.9,2,HA,100,,HA,100,90,97.5,39.89,76.5,36.61,23.5
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,2,NMP,22.9,2,HA,100,,HA,100,142.5,97.1,32.89,84,51.11,16
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,4,NMP,22.9,2,HA,100,,HA,100,225,98,25.82,88,62.18,12
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,GO-SiO2-NH2,6,NMP,22.9,2,HA,100,,HA,100,270,97,31.25,90,58.75,10
Sulfonated polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1S(=O)(=O)O,58000,16,,PVP,40000,4,none,0,NMP,22.9,2,SA,100,,SA,100,90,91.6,43.75,83,39.25,17
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,none,0,NMP,22.9,2,BSA,250,66000,BSA,250,20.5,90.8,43.7,47.7,4,52.3
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,1,NMP,22.9,2,BSA,250,66000,BSA,250,22,93.9,51.3,52.3,1,47.7
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,0.25,NMP,22.9,2,BSA,250,66000,BSA,250,27.5,98,54.1,56.6,2.5,43.4
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,0.5,NMP,22.9,2,BSA,250,66000,BSA,250,26,96.5,54.4,59.4,5,40.6
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,1,NMP,22.9,2,BSA,250,66000,BSA,250,30,96.1,54.9,59.4,4.5,40.6
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,2,NMP,22.9,2,BSA,250,66000,BSA,250,27.5,95.8,57.1,60.6,3.5,39.4
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,4,NMP,22.9,2,BSA,250,66000,BSA,250,27,95,58.9,64.9,6,35.1
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,none,0,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,20.5,92.3,43.7,47.7,4,52.3
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,1,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,22,93,51.3,52.3,1,47.7
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,0.25,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,27.5,95.2,54.1,56.6,2.5,43.4
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,0.5,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,26,94,54.4,59.4,5,40.6
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,1,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,30,95.1,54.9,59.4,4.5,40.6
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,2,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,27.5,95.7,57.1,60.6,3.5,39.4
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,Ag-TiO2,4,NMP,22.9,2,Lanasol blue 3R,100,789.377,BSA,250,27,98.6,58.9,64.9,6,35.1
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,0.2,NMP,22.9,2,BSA,500,66000,BSA,500,110.5,93,33.94,75,41.06,25
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,0.5,NMP,22.9,2,BSA,500,66000,BSA,500,142,95,30.63,79,48.37,21
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,1,NMP,22.9,2,BSA,500,66000,BSA,500,161.5,96,26.93,84,57.07,16
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,2,NMP,22.9,2,BSA,500,66000,BSA,500,217.5,98,25.97,89,63.03,11
Polyvinyl chloride,*CC(*)Cl,,15,40,PEG,6000,4,TiO2 NPs-5,4,NMP,22.9,2,BSA,500,66000,BSA,500,201.5,95.5,24.81,86,61.19,14
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,none,0,NMP,22.9,1,HA,100,,HA,100,193.9,42.5,58,73,15,27
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,1,NMP,22.9,1,HA,100,,HA,100,448.9,64,33.5,83.5,50,16.5
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,2,NMP,22.9,1,HA,100,,HA,100,515.8,72.5,37,89,52,11
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,none,0,NMP,22.9,1,BSA,100,66000,BSA,100,193.9,46,48.75,61.25,12.5,38.75
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,1,NMP,22.9,1,BSA,100,66000,BSA,100,448.9,66,27.5,70,42.5,30
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,2,NMP,22.9,1,BSA,100,66000,BSA,100,515.8,76,31.2,76.2,45,23.8
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,4,NMP,22.9,1,BSA,100,66000,BSA,100,475.6,82.5,30,80,50,20
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,none,0,NMP,22.9,1,SA,100,,SA,100,193.9,35,69,74,5,26
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,1,NMP,22.9,1,SA,100,,SA,100,448.9,55,39,77,38,23
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,2,NMP,22.9,1,SA,100,,SA,100,515.8,62.5,40,83,43,17
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,SPDA,4,NMP,22.9,1,SA,100,,SA,100,475.6,70,39.5,87.5,48,12.5
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,,1,none,0,NMP,22.7,1,BSA,100,66000,BSA,1000,59.7,71.4,12.5,32.5,20,67.5
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,,1,OMWCNTs,1,NMP,22.7,1,BSA,100,66000,BSA,1000,120,93.1,32,80,48,20
Polyvinylidene fluoride,*CC(*)(F)F,470000,13,29.2,none,,0,none,0,NMP,22.7,1,BSA,100,68000,BSA,100,14.8,98.5,49.05,65.5,16.45,34.5
Polyvinylidene fluoride,*CC(*)(F)F,470000,13,29.2,none,,0,GO-6,0.5,NMP,22.7,1,BSA,100,68000,BSA,100,18.6,98.5,58.44,73,14.56,27
Polyvinylidene fluoride,*CC(*)(F)F,470000,13,29.2,none,,0,GO-6,1,NMP,22.7,1,BSA,100,68000,BSA,100,25.55,98.5,53.27,79.5,26.23,20.5
Polyvinylidene fluoride,*CC(*)(F)F,470000,13,29.2,none,,0,GO-6,2,NMP,22.7,1,BSA,100,68000,BSA,100,26.49,98.5,53.64,88.56,34.92,11.44
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,none,,0,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,345.48,95.62,34.73,82.7,47.97,17.3
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,Pluronic F127,12600,0.5,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,420,95,30.95,82.5,51.55,17.5
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,Pluronic F127,12600,1,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,500,93.5,30,84,54,16
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,Pluronic F127,12600,1.5,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,600,92.5,31.17,90,58.83,10
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,Pluronic F127,12600,2,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,750,92,28,81,53,19
poly(m-phenylene isophthalamide),*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,200000,12,,Pluronic F127,12600,2.5,LiCl,5,NMP,22.7,1,BSA,1000,68000,BSA,1000,809.06,91.77,28.43,79.5,51.07,20.5
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),0.02,NMP,22.7,2,BSA,500,66000,BSA,500,97.5,98.5,40.25,71.25,31,28.75
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),0.05,NMP,22.7,2,BSA,500,66000,BSA,500,131,98.5,45,76,31,24
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),0.1,NMP,22.7,2,BSA,500,66000,BSA,500,155.5,98.5,48.87,76.87,28,23.13
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),0.2,NMP,22.7,2,BSA,500,66000,BSA,500,139,98.5,46.37,78.37,32,21.63
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),0.5,NMP,22.7,2,BSA,500,66000,BSA,500,122.5,98.5,44.7,73.2,28.5,26.8
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z1),1,NMP,22.7,2,BSA,500,66000,BSA,500,102.5,98.5,40,68,28,32
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),0.02,NMP,22.7,2,BSA,500,66000,BSA,500,87.5,98.5,41.25,63.75,22.5,36.25
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),0.05,NMP,22.7,2,BSA,500,66000,BSA,500,107.5,98.5,47.4,69.4,22,30.6
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),0.1,NMP,22.7,2,BSA,500,66000,BSA,500,124,98.5,43.5,71.5,28,28.5
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),0.2,NMP,22.7,2,BSA,500,66000,BSA,500,128,98.5,46,77,31,23
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),0.5,NMP,22.7,2,BSA,500,66000,BSA,500,110,98.5,43.25,71.25,28,28.75
Polyvinylidene fluoride,*CC(*)(F)F,,18,29.2,PVP,29000,1,ZIF-8 (Z2),1,NMP,22.7,2,BSA,500,66000,BSA,500,92.5,98.5,42.5,67.5,25,32.5
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,22000,16.5,46.6,PVP,,0.5,none,0,NMP,,1,HA,20,,HA,20,86,87.5,19.7,34.2,14.5,65.8
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,22000,16.5,46.6,PVP,,0.5,UiO-66-2,0.1,NMP,,1,HA,20,,HA,20,130,93.12,16,48.7,32.7,51.3
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,22000,16.5,46.6,PVP,,0.5,UiO-66-2,0.3,NMP,,1,HA,20,,HA,20,165,95.62,13.6,59.5,45.9,40.5
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,22000,16.5,46.6,PVP,,0.5,UiO-66-2,0.6,NMP,,1,HA,20,,HA,20,210,98.5,5.2,87.7,82.5,12.3
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,22000,16.5,46.6,PVP,,0.5,UiO-66-2,0.9,NMP,,1,HA,20,,HA,20,180,98.12,8,78.7,70.7,21.3
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,none,0,NMP,22.9,1,BSA,500,68000,BSA,500,142.8,68,36.2,51.2,15,48.8
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-8,0.5,NMP,22.9,1,BSA,500,68000,BSA,500,180,81.7,46.5,62,15.5,38
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-8,1,NMP,22.9,1,BSA,500,68000,BSA,500,195,83,54.5,72,17.5,28
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-8,1.5,NMP,22.9,1,BSA,500,68000,BSA,500,170,81.2,48.5,61,12.5,39
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,UiO-66-3,1,NMP,22.9,1,BSA,500,68000,BSA,500,181.25,82.5,52.5,64.5,12,35.5
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-UiO-66,0.5,NMP,22.9,1,BSA,500,68000,BSA,500,212.5,84,50,66,16,34
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-UiO-66,1,NMP,22.9,1,BSA,500,68000,BSA,500,262.5,93,56.5,82,25.5,18
Polyvinylidene fluoride,*CC(*)(F)F,400000,15,29.2,PVP,40000,1,GO-UiO-66,1.5,NMP,22.9,1,BSA,500,68000,BSA,500,233.5,86.25,55,70,15,30
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PVP,,1,none,0,NMP,22.7,1,BSA,200,66000,BSA,200,98,92,73.6,80,6.4,20
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PVP,,1,DPPA-GO,0.1,NMP,22.7,1,BSA,200,66000,BSA,200,187,96,60,80,20,20
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PVP,,1,DPPA-GO,0.3,NMP,22.7,1,BSA,200,66000,BSA,200,213,96,62.74,76.47,13.73,23.53
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PVP,,1,DPPA-GO,0.5,NMP,22.7,1,BSA,200,66000,BSA,200,245.1,95.8,53.95,77.19,23.24,22.81
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,18,46.6,PVP,,1,DPPA-GO,1,NMP,22.7,1,BSA,200,66000,BSA,200,235,94.5,41.95,70.27,28.32,29.73
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1,none,0,NMP,22.9,1,BSA,500,66000,BSA,500,139.3,95.5,12,72,60,28
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1,QSiPD-rGO,1,NMP,22.9,1,BSA,500,66000,BSA,500,162.5,98.67,13.5,75,61.5,25
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1,QSiPD-rGO,2,NMP,22.9,1,BSA,500,66000,BSA,500,212.5,99.2,14.3,78.3,64,21.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1,QSiPD-rGO,4,NMP,22.9,1,BSA,500,66000,BSA,500,218,99,14,79,65,21
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,1,QSiPD-rGO,6,NMP,22.9,1,BSA,500,66000,BSA,500,269.4,98.1,17.5,85,67.5,15
Polyvinylidene fluoride,*CC(*)(F)F,,16,29.2,PVP,,3,GO-9,0.5,NMP,22.7,1,BSA,500,66000,BSA,500,570,88.5,24.39,88.9,64.51,11.1
Polyvinylidene fluoride,*CC(*)(F)F,,16,29.2,PVP,,3,PFSA,0.5,NMP,22.7,1,BSA,500,66000,BSA,500,450,88,26.67,83.1,56.43,16.9
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,30000,16,63.55,PEG,400,2,CNC-2,3,NMP,24.8,2,BSA,200,68000,BSA,1000,10,92,75,83,8,17
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,30000,16,63.55,PEG,400,2,CNC-2,5,NMP,24.8,2,BSA,200,68000,BSA,1000,20,92.5,83.5,89.5,6,10.5
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,30000,16,63.55,PEG,400,2,CNC-2,15,NMP,24.8,2,BSA,200,68000,BSA,1000,90,90,62,83,21,17
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,15,63.55,PVP,25000,2,none,0,NMP,22.9,1,BSA,1000,68000,BSA,1000,46.25,92,25.18,60.18,35,39.82
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,15,63.55,PVP,25000,2,CNC-3,0.5,NMP,22.9,1,BSA,1000,68000,BSA,1000,77,97,30,68,38,32
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,15,63.55,PVP,25000,2,CNC-3,1.2,NMP,22.9,1,BSA,1000,68000,BSA,1000,15,95,30.24,72.24,42,27.76
Polyvinyl chloride,*CC(*)Cl,90000,17,40,PEG,2000,5,none,0,NMP,22.9,2,BSA,1000,68000,BSA,1000,80.8,84.94,39.67,70,30.33,30
